Household ID,Date,Electricity Usage (kWh),Water Usage (Liters),Food Waste (kg),Carbon Footprint (kg CO₂),Location
8270,2023-12-31,17.06,480.5,1.68,18.71,Chennai
1860,2023-03-06,22.74,383.6,1.14,22.75,Mumbai
6390,2023-11-22,20.31,109.3,0.44,19.16,Mumbai
6191,2023-03-10,28.78,280.1,1.91,29.72,Kolkata
6734,2023-05-01,25.44,300.0,0.27,23.44,Chennai
7265,2023-04-19,26.72,125.5,0.8,25.65,Mumbai
1466,2023-11-12,18.54,242.2,1.85,20.39,Chennai
5426,2023-09-04,13.18,340.6,1.24,14.34,Kolkata
6578,2023-04-03,22.54,177.8,1.36,23.01,Kolkata
9322,2023-09-25,15.98,199.2,0.67,15.72,Chennai
2685,2023-04-13,12.19,104.9,0.25,11.47,Mumbai
1769,2023-04-22,8.81,236.0,0.79,9.51,Delhi
7949,2023-11-17,18.2,312.7,0.86,18.1,Delhi
3433,2023-10-31,19.86,102.4,0.61,19.09,Kolkata
6311,2023-12-10,19.22,326.7,0.51,18.32,Mumbai
6051,2023-03-03,7.91,229.0,0.78,8.68,Kolkata
7420,2023-10-27,19.25,355.2,1.31,19.94,Kolkata
2184,2023-05-16,9.21,191.7,1.9,12.09,Kolkata
5555,2023-02-24,21.59,305.8,1.44,22.31,Kolkata
4385,2023-04-18,15.73,325.8,1.58,17.32,Chennai
7396,2023-10-30,26.22,360.7,0.68,24.96,Chennai
9666,2023-09-15,24.46,390.6,0.3,22.61,Mumbai
3558,2023-09-10,23.11,111.4,0.65,22.1,Mumbai
8849,2023-08-10,22.52,484.4,0.87,22.01,Bangalore
3047,2023-06-16,19.01,429.6,1.41,19.93,Delhi
3747,2023-06-09,6.53,303.0,1.88,9.64,Chennai
1189,2023-06-15,21.39,450.7,1.64,22.53,Mumbai
3734,2023-07-24,16.67,222.1,0.61,16.22,Kolkata
4005,2023-09-24,16.74,65.4,1.66,18.39,Chennai
5658,2023-05-18,14.48,377.2,0.88,14.79,Delhi
2899,2023-12-12,28.23,474.5,0.43,26.27,Chennai
8734,2023-09-05,11.24,122.8,0.98,12.08,Delhi
2267,2023-02-24,12.91,339.7,1.17,13.96,Bangalore
2528,2023-07-28,29.08,416.0,1.55,29.27,Mumbai
4556,2023-01-17,25.25,457.3,0.76,24.24,Delhi
4890,2023-03-09,5.35,174.4,0.38,5.57,Bangalore
9838,2023-05-13,27.65,107.9,0.28,25.44,Chennai
6393,2023-07-07,10.67,161.5,0.31,10.22,Mumbai
9792,2023-11-04,22.65,310.0,1.91,24.2,Delhi
9433,2023-05-18,18.83,463.4,1.91,20.77,Delhi
8513,2023-06-23,18.42,312.1,1.94,20.46,Mumbai
3612,2023-04-07,22.95,463.8,0.67,22.0,Chennai
8041,2023-06-20,10.18,396.5,0.46,10.08,Chennai
7235,2023-06-03,8.98,319.3,1.96,12.0,Kolkata
6486,2023-07-02,21.3,59.8,1.98,23.13,Chennai
8099,2023-08-30,12.26,199.9,0.25,11.53,Mumbai
1775,2023-10-31,29.35,75.9,1.53,29.48,Bangalore
9226,2023-10-12,16.29,195.0,0.65,15.96,Mumbai
4152,2023-01-27,7.79,78.1,1.83,10.67,Delhi
2585,2023-12-26,22.15,125.5,0.27,20.47,Kolkata
4943,2023-03-01,12.65,234.8,1.79,14.96,Kolkata
8555,2023-07-21,8.71,281.7,0.1,8.04,Bangalore
4073,2023-09-07,15.57,147.7,1.09,16.19,Delhi
2021,2023-12-28,29.11,379.7,0.74,27.68,Chennai
4843,2023-03-10,15.29,315.7,0.91,15.58,Chennai
8989,2023-01-21,13.68,361.3,0.92,14.15,Chennai
7873,2023-06-01,16.11,379.7,1.34,17.18,Mumbai
6675,2023-04-12,5.3,377.1,0.14,5.05,Chennai
1161,2023-04-05,8.33,471.3,1.41,10.32,Delhi
5297,2023-12-27,26.24,156.7,0.14,23.9,Kolkata
1995,2023-08-17,29.45,171.6,0.45,27.4,Mumbai
8629,2023-05-05,8.95,92.4,1.25,10.56,Chennai
